country_code,year,gdp_per_capita_usd,population_total,package_key,package_name,money_total_usd,volunteer_value_usd,dalys_total,dalys_domestic_poor,dalys_domestic_nonpoor,dalys_foreign_poor,dalys_foreign_nonpoor,dalys_future_global
ABW,2023,33984.7906198041,107359.0,A_soft_norm_shift,Soft Global Norm Shift,34661444.793439716,18242865.680757742,1375512.072329134,550204.8289316536,275102.4144658268,412653.6216987402,68775.6036164567,68775.6036164567
ABW,2023,33984.7906198041,107359.0,B_tax_and_match,Tax & Match,21891438.81690929,7297146.272303097,875657.5526763718,350263.02107054874,175131.51053527437,262697.26580291154,43782.87763381859,43782.87763381859
ABW,2023,33984.7906198041,107359.0,C_angels_lite,Angels-lite,273642985.2113661,10945719.408454645,10814370.77555319,4325748.310221276,2162874.155110638,3244311.2326659565,540718.5387776595,540718.5387776595
ABW,2023,33984.7906198041,107359.0,D_corp_billionaire,Corporate & Billionaire Pledges,197022949.3521837,0.0,6698780.277974245,2679512.1111896983,1339756.0555948492,2009634.0833922734,334939.0138987123,334939.0138987123
ABW,2023,33984.7906198041,107359.0,E_volunteer_talent,Volunteer & Talent Surge,0.0,72971462.72303097,2189143.881690929,875657.5526763718,437828.7763381859,656743.1645072787,109457.19408454647,109457.19408454647
ABW,2023,33984.7906198041,107359.0,F_solidarity_surcharges,Global Solidarity Surcharges,7297146.2723031,0.0,189725.8030798806,75890.32123195224,37945.16061597612,56917.74092396418,9486.29015399403,9486.29015399403
AFE,2023,1510.74295082335,750503764.0,A_soft_norm_shift,Soft Global Norm Shift,10771273574.779213,37525188200.0,1255708006.1442595,502283202.4577038,251141601.2288519,376712401.8432778,62785400.30721298,62785400.30721298
AFE,2023,1510.74295082335,750503764.0,B_tax_and_match,Tax & Match,6802909626.176346,15010075280.0,654389547.1852905,261755818.87411618,130877909.43705809,196316864.15558714,32719477.359264523,32719477.359264523
AFE,2023,1510.74295082335,750503764.0,C_angels_lite,Angels-lite,85036370327.20432,22515112920.0,4086956363.3937645,1634782545.3575058,817391272.6787529,1226086909.0181293,204347818.16968822,204347818.16968822
AFE,2023,1510.74295082335,750503764.0,D_corp_billionaire,Corporate & Billionaire Pledges,61226186635.58706,0.0,2081690345.6099598,832676138.243984,416338069.121992,624507103.6829879,104084517.280498,104084517.280498
AFE,2023,1510.74295082335,750503764.0,E_volunteer_talent,Volunteer & Talent Surge,0.0,150100752800.0,4503022584.0,1801209033.6000001,900604516.8000001,1350906775.2,225151129.20000002,225151129.20000002
AFE,2023,1510.74295082335,750503764.0,F_solidarity_surcharges,Global Solidarity Surcharges,2267636542.0587797,0.0,58958550.09352827,23583420.03741131,11791710.018705655,17687565.02805848,2947927.5046764137,2947927.5046764137
AFG,2023,413.757894705303,41454761.0,A_soft_norm_shift,Soft Global Norm Shift,162946229.05027926,2072738050.0,58127791.25530726,23251116.502122905,11625558.251061453,17438337.376592178,2906389.562765363,2906389.562765363
AFG,2023,413.757894705303,41454761.0,B_tax_and_match,Tax & Match,102913407.821229,829095220.0,27960258.834636874,11184103.53385475,5592051.766927375,8388077.650391062,1398012.9417318439,1398012.9417318439
AFG,2023,413.757894705303,41454761.0,C_angels_lite,Angels-lite,1286417597.7653625,1243642830.0,96142296.2550838,38456918.502033524,19228459.251016762,28842688.876525138,4807114.8127541905,4807114.8127541905
AFG,2023,413.757894705303,41454761.0,D_corp_billionaire,Corporate & Billionaire Pledges,926220670.3910611,0.0,31491502.793296076,12596601.11731843,6298300.558659215,9447450.837988822,1574575.1396648039,1574575.1396648039
AFG,2023,413.757894705303,41454761.0,E_volunteer_talent,Volunteer & Talent Surge,0.0,8290952200.0,248728566.0,99491426.4,49745713.2,74618569.8,12436428.3,12436428.3
AFG,2023,413.757894705303,41454761.0,F_solidarity_surcharges,Global Solidarity Surcharges,34304469.273743,0.0,891916.2011173181,356766.48044692725,178383.24022346362,267574.86033519544,44595.810055865906,44595.810055865906
AFW,2023,1599.39298291654,509398589.0,A_soft_norm_shift,Soft Global Norm Shift,7739921023.164775,25469929450.0,863456112.3022842,345382444.9209137,172691222.46045685,259036833.69068527,43172805.61511421,43172805.61511421
AFW,2023,1599.39298291654,509398589.0,B_tax_and_match,Tax & Match,4888371172.525121,10187971780.0,452290288.57575357,180916115.43030143,90458057.71515071,135687086.57272607,22614514.42878768,22614514.42878768
