country_code,year,gdp_current_usd,gni_current_usd,gdp_per_capita_usd,population_total
ABW,2000,1873452513.96648,1849411061.45251,20681.0230269625,90588
ABW,2001,1896456983.24022,1839207486.03352,20740.1325828172,91439
ABW,2002,1961843575.41899,1826138994.41341,21307.2482505267,92074
ABW,2003,2044111731.84358,1990803463.68715,21949.4859960868,93128
ABW,2004,2254830726.25698,2180507318.43575,23700.6319899197,95138
ABW,2005,2360017318.43575,1881063631.28492,24171.8371325422,97635
ABW,2006,2469782681.56425,2363943575.41899,24845.65848362,99405
ABW,2007,2677641340.78212,2293013743.01676,26736.3089444046,100150
ABW,2008,2843024581.00559,2726393631.28492,28171.9094008501,100917
ABW,2009,2553793296.08939,2465043407.82123,25134.7712303589,101604
ABW,2010,2453597206.70391,2313385195.53073,24093.1401510626,101838
ABW,2011,2637859217.87709,2391841396.64804,25712.3843015186,102591
ABW,2012,2615208379.88827,2499117877.09497,25119.6655449838,104110
ABW,2013,2727849720.67039,2563517262.56983,25813.5767274227,105675
ABW,2014,2790849720.67039,2688102402.23464,26129.8390617693,106807
ABW,2015,2962907262.56983,2838143910.61453,27458.2253310273,107906
ABW,2016,2983635195.53073,2848406201.11732,27441.5296617282,108727
ABW,2017,3092429050.27933,2921801005.58659,28440.051963759,108735
ABW,2018,3276184357.5419,3061556871.50838,30082.1276448186,108908
ABW,2019,3395798882.68156,3242394134.07821,31096.2050738676,109203
ABW,2020,2481857122.8401,2413701726.62848,22855.9323200761,108587
ABW,2021,2929446578.25104,2824767104.28028,27200.0610793969,107700
ABW,2022,3279343543.60416,3154132445.31878,30559.5335346581,107310
ABW,2023,3648573136.15155,3332806320.74332,33984.7906198041,107359
AFE,2000,287201651521.163,274733313232.529,707.120377674078,406156661
AFE,2001,260992228316.31,248656149689.067,626.169149753934,416807868
AFE,2002,267815037639.861,255752865955.076,625.998816166344,427820358
AFE,2003,355716369817.829,341642857107.453,809.968140498029,439173286
AFE,2004,442696186423.428,425850331672.263,981.744631574583,450928044
AFE,2005,516661066865.396,495998697566.243,1115.71395657647,463076637
AFE,2006,580240750535.502,555228747391.961,1220.00246913408,475606210
AFE,2007,665598701333.933,632618080207.629,1362.31065164416,488580707
AFE,2008,713502106251.46,672455805168.801,1421.11861281885,502070763
AFE,2009,715485349813.383,686505497583.119,1386.59024970969,516003448
AFE,2010,849409606774.9,811046713863.869,1601.72765054704,530308387
AFE,2011,945439030450.479,904113452619.279,1735.58492331253,544737983
AFE,2012,952998471719.373,918410548303.794,1702.9691001504,559609961
AFE,2013,962441293816.426,924748465756.743,1673.22110186487,575202699
AFE,2014,978743758351.278,943316799802.36,1656.16770915726,590968990
AFE,2015,898308853395.359,869689395684.891,1479.61525980543,607123269
AFE,2016,828961170566.435,808595463365.185,1329.80728479234,623369401
AFE,2017,973025126473.894,945530466515.132,1520.21223076132,640058741
AFE,2018,1012291194268.21,983792124690.12,1538.90167917284,657801085
AFE,2019,1009746517725.42,982518913714.599,1493.81793829992,675950189
AFE,2020,933407232177.078,915225174782.972,1344.10320999294,694446100
AFE,2021,1085604883589.65,1061080180396.17,1522.3933455926,713090928
AFE,2022,1191638638185.25,1161035631260.79,1628.31894446307,731821393
AFE,2023,1133818271029.39,1108161006572.67,1510.74295082335,750503764
AFG,2000,3521418059.92345,3411145674.07204,174.930991430166,20130327
AFG,2001,2813571753.87253,2824372441.02049,138.706821676113,20284307
AFG,2002,3825701438.99963,3886746599.72657,178.954088379235,21378117
AFG,2003,4520946818.54581,4582016675.61324,198.871115728727,22733049
